id,name,created_at,updated_at,intro,page,opt,shows
2696,ВКЛАДЫШИ КОЛЕНВАЛА,2014-02-15 00:26:11.430186,2014-02-15 00:26:11.430186,,,,
2697,ГИЛЬЗА БЛОКА ЦИЛИНДРОВ,2014-02-15 00:26:11.432449,2014-02-15 00:26:11.432449,,,,
2698,ДАТЧИК ПОЛОЖЕНИЯ КОЛЕНВАЛА,2014-02-15 00:26:11.434617,2014-02-15 00:26:11.434617,,,,
2699,ДАТЧИК ТЕМПЕРАТУРЫ МАСЛА,2014-02-15 00:26:11.436973,2014-02-15 00:26:11.436973,,,,
2700,ДАТЧИК УРОВНЯ МАСЛА,2014-02-15 00:26:11.439076,2015-02-02 00:46:15.561305,"","",,2425
2701,КЛАПАН/ПАТРУБОК СИСТЕМЫ ВЕНТИЛЯЦИИ ДВИГАТЕЛЯ,2014-02-15 00:26:11.441176,2014-02-15 00:26:11.441176,,,,
2702,КОЛЕНВАЛ,2014-02-15 00:26:11.443315,2015-01-19 20:00:56.031878,"<p>Коленвал (коленчатый вал) &ndash; это один из ответственных и довольно дорогостоящих элементов двигателя. Он преобразует движение поршней или поршня в крутящее движение. Коленвал воспринимает переменные нагрузки от сильного давления газа и силы вращающихся и движущихся масс.</p>
","<p>Коленвал (коленчатый вал) &ndash; это один из ответственных и довольно дорогостоящих элементов двигателя. Он преобразует движение поршней или поршня в крутящее движение. Коленвал воспринимает переменные нагрузки от сильного давления газа и силы вращающихся и движущихся масс.<br />
<br />
Коленвал двигателя, цельный элемент конструкции, поэтому более правильней его назвать деталью. Он изготавливается из прочной стали, путем ковки, а если изготовляется из чугуна, то путем литья. На двигателях дизельных и&nbsp;турбированных&nbsp;устанавливаются намного более прочные стальные коленвалы. Изготовленные из сверх прочной стали.<br />
<br />
Конструктивно коленвал соединяет несколько шатунных шеек и коренных, соединенных щеками между собой. У коренной шейки больший диаметр, чем у шейки шатунной. Продолжение щеки в другом направлении шатунной шейки есть противовес. Противовес уравнивает вес поршней и шатунов, обеспечивая плавную и комфортную работу двигателя.&nbsp;<br />
<br />
Вращение коленвала в опорах, а вращение шатунов в шатунных шейках обеспечивают подшипники скольжения. В качестве этих подшипников применяются тонкостенные разъемные вкладыши, они изготавливаются из тонкой стальной ленты и на них наносится антифрикционный слой. А проворачиванию вкладышей вокруг шейки мешает выступ, которым они закрепляются в опоре. Для предотвращения осевых перемещений коленвала применяется упорный подшипник скольжения, он устанавливается на крайней или средней коренной шейке.</p>
",,59813
2703,КОЛЬЦА ПОРШНЕВЫЕ,2014-02-15 00:26:11.445421,2015-01-19 20:00:56.013627,"<p>Кольца поршневые - это важная деталь двигателя автомобиля, они предназначены чтобы обеспечить герметичность внутри цилиндрового пространства. Одновременно кольца отводят в цилиндр большую часть тепла, которая воспринимается днищем поршня и не дают проникнуть маслу из картера в цилиндры. В современном автомобилестроение, применяются поршневые кольца двух видов - это кольца компрессионные и кольца маслосъемные.&nbsp;</p>
","<p>Кольца поршневые - это важная деталь двигателя автомобиля, они предназначены чтобы обеспечить герметичность внутри цилиндрового пространства. Одновременно кольца отводят в цилиндр большую часть тепла, которая воспринимается днищем поршня и не дают проникнуть маслу из картера в цилиндры. В современном автомобилестроение, применяются поршневые кольца двух видов - это кольца компрессионные и кольца маслосъемные.&nbsp;</p>

<p>Кольца компрессионные: предназначаются для обеспечения герметичности камеры сгорания. Они как правило устанавливаются вверху поршня. Больше трех таких колец на поршень не устанавливают, потому как степень уплотнения, которая действует на поршень увеличивается незначительно, а вот потери которые действуют на трение, значительно возрастают. На бензиновые двухтактные двигатели, обычно устанавливают два компрессионных кольца. Замок кольца соответствует расположению и форме стопорного штифта поршня. Это повышает компрессию и предохраняет кольцо от проворачивания.</p>

<p>Кольца маслосъемные: предназначаются для снятия лишнего моторного масла, которое смазывает, компрессионные кольца, поршень и внутренние стенки цилиндра. Они как правило устанавливаются чуть ниже компрессионных колец поршня. Конструкция маслосъемного кольца сделана таким образом, чтобы иметь возможность оставлять масляную пленку на стенках цилиндра, которая в толщину всего несколько миллиметров. В канавке кольца имеются прорези, по ним снимаемые со стенок цилиндра излишки масла сбрасываются в картер.</p>
",,13029
2704,КОЛЬЦО-ВЕНЕЦ-ГРЕБЕНКА ДАТЧИКА ПОЛОЖЕНИЯ КОЛЕНВАЛА,2014-02-15 00:26:11.447796,2014-02-15 00:26:11.447796,,,,
2705,КРЫШКА ДВИГАТЕЛЯ,2014-02-15 00:26:11.449899,2015-02-01 02:38:47.044028,"","",,5599
2706,МАХОВИК,2014-02-15 00:26:11.451981,2015-01-19 20:00:55.979944,"<p>Маховик является важной деталью двигателя автомобиля. Он обеспечивает транспортному средству нужную скорость движения. Маховик представляет собой чугунный литой диск с зубчатым ободом.</p>
","<p>Маховик является важной деталью двигателя автомобиля. Он обеспечивает транспортному средству нужную скорость движения. Маховик представляет собой чугунный литой диск с зубчатым ободом.&nbsp;<br />
Основные функции маховика заключаются:</p>

<ul>
	<li>в стабилизации вращения коленчатого вала;</li>
	<li>передаче крутящего момента от мотора к коробке;</li>
	<li>передаче крутящего момента со стартера на коленчатый вал.</li>
</ul>

<p>Конструктоционно маховики подразделяются на несколько видов. Сплошной маховик, имеющий диаметр 30-40 см, представляет собой стандартный вариант детали, он прост в эксплуатации и поэтому пользуется наибольшим спросом у автомобилистов.<br />
Двухмассовый (демпферный) изготавливается из двух литых чугунных дисков, соединенных пружинной системой. К преимуществам этого маховика можно отнести: гашение вибраций, шумоизоляцию, защиту трансмиссии от перегрузок, повышение износостойкости синхронизаторов.<br />
Еще одна разновидность маховиков &ndash; это облегченный. При его установке, мощность двигателя увеличивается на 5%. Масса облегченного маховика (4,5 кг) намного меньше сплошного (6,3 кг). Существует 2 способа облегчения маховиков: со стандартной детали путем протачивания снимается лишний вес или новый маховик изготавливается непосредственно из легкого материала. Благодаря особым своим качествам, которые наилучшим образом отражаются на скорости автомобиля, маховики такого типа имеют значительный минус &ndash; они подвержены быстрому износу, так как вследствие удаления металла снижается прочность изделия.</p>

<p>&nbsp;</p>
",,27552
2707,ПОРШЕНЬ/ШАТУН ДВИГАТЕЛЯ,2014-02-15 00:26:11.454217,2014-02-15 00:26:11.454217,,,,
2708,СОЛЕНОИД ИЗМЕНЕНИЯ ФАЗ РАСПРЕДВАЛА,2014-02-15 00:26:11.456319,2015-01-19 20:00:55.966206,"","",,0
2709,ШКИВ КОЛЕНВАЛА,2014-02-15 00:26:11.458427,2015-01-19 20:00:55.94935,"","",,6127
2710,ШПОНКА КОЛЕНВАЛА,2014-02-15 00:26:11.460499,2015-02-02 07:12:41.930431,"","",,387
2711,ЩУП-ИНДИКАТОР УРОВНЯ МАСЛА,2014-02-15 00:26:11.464495,2014-02-15 00:26:11.464495,,,,
2712,ВПУСКНОЙ КОЛЛЕКТОР,2014-02-15 00:26:11.467581,2015-01-19 20:00:55.924636,"<p>Впускной коллектор &ndash; это часть двигателя, через него топливо воздушная смесь поступает в камеру сгорания. Функция впускного коллектора нужна для равномерного распределения горючей смеси. Ведь равномерное распределение очень влияет на производительность двигателя. Впускной коллектор двигателя также может служить для крепления карбюратора, форсунок, дроссельной заслонки.</p>
","<p>Впускной коллектор &ndash; это часть двигателя, через него топливо воздушная смесь поступает в камеру сгорания. Функция впускного коллектора нужна для равномерного распределения горючей смеси. Ведь равномерное распределение очень влияет на производительность двигателя. Впускной коллектор двигателя также может служить для крепления карбюратора, форсунок, дроссельной заслонки.</p>

<p>При движения поршней и довольно ограниченного пропуска воздуха который проходит через дроссельную заслонку, образуется вакуум. Он может быть довольно таки сильным и может быть задействован в качестве источника питания для управления различными вспомогательными системами транспортного средства, такими как: круиз контроль, прибор контроля выбросов, гидроусилитель тормозов, привода стеклоочистителей и так далее.</p>

<p>Обычно впускной коллектор производится из железа, или алюминия. Но сейчас у автопроизводителей большую популярность приобретают пластиковые композитные материалы. Это связано со свойствами воздуха, воздух способен расширяться при нагреве. Впускной коллектор из металла нагревается от двигателя и большую часть тепла отдает воздуху, который расширяется и попадает в камеру сгорания в гораздо меньшем объеме, что негативно сказывается в наполнении цилиндров двигателя. Использование же пластика очень помогло снизить этот отрицательный эффект и ощутимо повысить наполняемость цилиндров.</p>
",,15380
2713,ЗАЩИТА ВПУСКНОГО КОЛЛЕКТОРА,2014-02-15 00:26:11.469998,2015-02-02 20:59:32.05246,"","",,5
2714,ПРОКЛАДКА ВПУСКНОГО КОЛЛЕКТОРА,2014-02-15 00:26:11.472267,2015-01-19 20:00:54.348443,"","",,1315
2715,ВЫПУСКНОЙ КОЛЛЕКТОР,2014-02-15 00:26:11.474429,2015-02-01 02:16:09.525845,"","",,9483
2716,ЗАЩИТА ВЫПУСКНОГО КОЛЛЕКТОРА,2014-02-15 00:26:11.47649,2015-02-02 10:12:40.307048,"","",,31
2717,КЛАПАН СИСТЕМЫ РЕЦИРКУЛЯЦИИ,2014-02-15 00:26:11.478885,2015-02-02 08:14:46.104998,"","",,151
2718,ПРОКЛАДКА ВЫПУСКНОГО КОЛЛЕКТОРА,2014-02-15 00:26:11.48105,2015-02-02 05:16:35.892217,"","",,1407
2719,ПРОКЛАДКА КОЛЛЕКТОР - ГЛУШИТЕЛЬ,2014-02-15 00:26:11.483273,2014-02-15 00:26:11.483273,,,,
2720,БОЛТ ГОЛОВКИ БЛОКА,2014-02-15 00:26:11.485416,2015-02-02 05:44:54.537888,"","",,993
2721,ВКЛАДЫШИ РАСПРЕДВАЛА,2014-02-15 00:26:11.487619,2015-01-19 20:00:54.256793,"","",,94
2722,ГИДРОКОМПЕРСАТОР КЛАПАНА,2014-02-15 00:26:11.490097,2015-02-02 22:18:00.784905,"","",,0
2723,ГОЛОВКА БЛОКА ЦИЛИНДРОВ,2014-02-15 00:26:11.492217,2015-02-01 01:33:32.151318,"","",,20930
2724,ДАТЧИК ПОЛОЖЕНИЯ РАСПРЕДВАЛА,2014-02-15 00:26:11.494467,2015-01-19 20:00:53.790687,"","",,1688
2725,"КЛАПАН ДВИГАТЕЛЯ, ДЕТАЛИ КЛАПАНА",2014-02-15 00:26:11.496582,2014-02-15 00:26:11.496582,,,,
2726,КОЛЬЦО-ВЕНЕЦ-ГРЕБЕНКА ДАТЧИКА ПОЛОЖЕНИЯ РАСПРЕДВАЛА,2014-02-15 00:26:11.498725,2015-01-06 23:19:55.588827,"","",,
2727,ОПОРА/ПАСТЕЛЬ РАСПРЕДВАЛА,2014-02-15 00:26:11.500857,2015-01-06 23:19:16.918761,"","",,
2728,РАСПРЕДВАЛ,2014-02-15 00:26:11.50288,2015-01-19 20:00:51.647746,"<p>Распердвал, он же распределительный вал &ndash; устройство, необходимое для синхронности тактов работы двигателя внутреннего сгорания. Является главной деталью газораспределительного механизма. Изготовляются, как правило, из углеродистой и легированной сталей и легированного чугуна.</p>

<p>&nbsp;</p>
","<p>Распердвал, он же распределительный вал &ndash; устройство, необходимое для синхронности тактов работы двигателя внутреннего сгорания. Является главной деталью газораспределительного механизма. Изготовляются, как правило, из углеродистой и легированной сталей и легированного чугуна.<br />
Устройство необходимо для своевременного открывания и закрывания клапанов, за счет чего происходит процесс газообмена в двигателе: подачи свежего воздуха и выпуска отработавших газов. Когда кулачки находящиеся на валу не оказывают давление на рычаг, то происходит закрытие клапана благодаря действию возвратной пружины. А когда кулачок надавливает на клапан он соответственно открывается. Размещение кулачков на распределительном вале определяется количеством и порядком работы цилиндров и зависит от фаз газораспределения, схемы механизма газораспределения и его привода.</p>

<p>&nbsp;</p>
",,41090
2729,ДВИГАТЕЛЬ В СБОРЕ,2014-02-15 00:26:11.50506,2015-02-02 00:25:02.4498,"","",,2986
2730,АДАПТЕР МАСЛЯНОГО ФИЛЬТРА,2014-02-15 00:26:11.507113,2015-02-02 10:05:14.747472,"","",,52
2731,КРЫШКА МАСЛОЗАЛИВНОЙ ГОРЛОВИНЫ,2014-02-15 00:26:11.509207,2015-02-02 05:31:25.592609,"","",,1252
2732,НАСОС МАСЛЯНЫЙ ДВИГАТЕЛЯ,2014-02-15 00:26:11.511221,2015-02-02 05:45:49.982663,"","",,967
2733,ПОДДОН ДВИГАТЕЛЯ,2014-02-15 00:26:11.513237,2015-02-02 00:03:50.930794,"","",,3331
2734,ПРОБКА ПОДДОНА ДВИГАТЕЛЯ,2014-02-15 00:26:11.515418,2015-02-02 07:24:21.788468,"","",,332
2735,ФИЛЬТР МАСЛЯНЫЙ,2014-02-15 00:26:11.517619,2015-01-19 20:00:51.535943,"<p>Масляный фильтр предназначен для очистки масла в двигателе.&nbsp;Принцип устройства масляного фильтра прост, он состоит из корпуса в котором находятся фильтрующие элементы и перепускные, противодренажные, противосливные клапана. Бывают разборные и неразборные. В последнее время чаще используются неразборные, в связи с большей простотой обслуживания и компактным размерам.</p>

<p>&nbsp;</p>
","<p>Масляный фильтр предназначен для очистки масла в двигателе.&nbsp;Принцип устройства масляного фильтра прост, он состоит из корпуса в котором находятся фильтрующие элементы и перепускные, противодренажные, противосливные клапана. Бывают разборные и неразборные. В последнее время чаще используются неразборные, в связи с большей простотой обслуживания и компактным размерам.</p>

<p>Сам фильтрующий элемент производят из пропитанной смолой гофрированной бумаги. Перепускной клапан обеспечивает подачу масла в двигатель в случае загрязнения фильтра, срабатывает при определенном давлении. Противосливной клапан препятствует утечке масла через входное отверстие при замене фильтра. Противдренажный клапан не дает маслу сливаться из фильтра при остановке двигателя, что предотвращает образование воздушной пробки при запуске двигателя.<br />
Иногда некоторые клапана в конструкции отсутствуют это зависит от конструктивных особенностей двигателя.&nbsp;</p>

<p>При установке масляного фильтра стремитесь следовать инструкциям завода изготовителя во избежании выхода из строя двигателя.</p>

<p>&nbsp;</p>
",,48343
2736,БАШМАК НАТЯЖИТЕЛЯ ЦЕПИ ГРМ,2014-02-15 00:26:11.519945,2015-02-02 10:17:57.071148,"","",,18
2737,БОЛТ ГРМ,2014-02-15 00:26:11.522108,2015-02-02 08:13:50.977027,"","",,169
2738,НАТЯЖИТЕЛЬ РЕМНЯ/ЦЕПИ ГРМ / БАЛАНСИРОВОЧНОГО ВАЛА,2014-02-15 00:26:11.524356,2014-02-15 00:26:11.524356,,,,
2739,РЕМЕНЬ/ЦЕПЬ ГРМ / БАЛАНСИРОВОЧНОГО ВАЛА,2014-02-15 00:26:11.526529,2014-02-15 00:26:11.526529,,,,
2740,РОЛИК НАТЯЖИТЕЛЯ РЕМНЯ ГРМ,2014-02-15 00:26:11.535907,2015-01-19 20:00:50.352689,,,,549
2741,РОЛИК ОБВОДНОЙ РЕМНЯ ГРМ,2014-02-15 00:26:11.538229,2015-02-02 10:05:07.739535,"","",,53
2742,УСПОКОИТЕЛЬ ЦЕПИ ГРМ,2014-02-15 00:26:11.540443,2015-02-02 08:31:30.98336,"","",,125
2743,ШЕСТЕРНЯ КОЛЕНВАЛА,2014-02-15 00:26:11.542641,2015-02-02 05:45:34.021635,"","",,983
2744,ШЕСТЕРНЯ РАСПРЕДВАЛА,2014-02-15 00:26:11.544835,2015-01-19 20:00:50.268703,"","",,1805
2745,БОЛТ ОПОРЫ ДВИГАТЕЛЯ/ТРАНСМИССИИ,2014-02-15 00:26:11.546901,2014-02-15 00:26:11.546901,,,,
2746,ОПОРА ДВИГАТЕЛЯ,2014-02-15 00:26:11.549127,2015-01-19 20:00:50.255725,"<p>Опора или подушка двигателя служит для гашения вибрация, передаваемых двигателем корпусу автомобиля.</p>
","",,10013
2747,ОПОРА ТРАНСМИССИИ,2014-02-15 00:26:11.551213,2015-02-02 10:15:03.929959,"","",,26
2748,ВЕРХНИЙ НАБОР ПРОКЛАДОК,2014-02-15 00:26:11.553281,2015-02-02 10:18:02.950134,"","",,18
2749,НИЖНИЙ НАБОР ПРОКЛАДОК,2014-02-15 00:26:11.555526,2015-02-02 20:50:11.179132,"","",,7
2750,ПРОКЛАДКА ГОЛОВКИ БЛОКА,2014-02-15 00:26:11.557614,2015-02-01 02:37:20.97646,"","",,6086
2751,ПРОКЛАДКА ДВИГАТЕЛЯ,2014-02-15 00:26:11.559749,2015-02-01 03:11:29.16889,"","",,5217
2752,ПРОКЛАДКА КЛАПАННОЙ КРЫШКИ,2014-02-15 00:26:11.561833,2015-01-19 20:00:49.143448,"","",,7037
2753,ПРОКЛАДКА КРЫШКИ ЗАДНЕГО САЛЬНИКА КОЛЕНВАЛА ДВИГАТЕЛЯ,2014-02-15 00:26:11.564132,2015-01-19 20:00:49.114475,"","",,0
2754,ПРОКЛАДКА ПЕРЕДНЕЙ КРЫШКИ,2014-02-15 00:26:11.566242,2015-02-02 07:58:22.194594,"","",,200
2755,ПРОКЛАДКА ПОДДОНА ДВИГАТЕЛЯ,2014-02-15 00:26:11.56839,2015-01-19 20:00:48.064468,,,,394
2756,"ПРОКЛАДКИ ДВИГАТЕЛЯ, ПОЛНЫЙ НАБОР",2014-02-15 00:26:11.570665,2014-02-15 00:26:11.570665,,,,
2757,САЛЬНИК ДВИГАТЕЛЯ,2014-02-15 00:26:11.572814,2015-01-19 20:00:47.554978,"","",,1712
2758,САЛЬНИК КЛАПАНА МАСЛОСЪЕМНЫЙ,2014-02-15 00:26:11.574919,2015-01-19 20:00:47.530657,"","",,19
2759,САЛЬНИК КОЛЕНВАЛА - ЗАДНИЙ,2014-02-15 00:26:11.577154,2015-01-05 11:57:27.592425,"","",,
2760,САЛЬНИК КОЛЕНВАЛА - ПЕРЕДНИЙ,2014-02-15 00:26:11.579372,2015-01-05 11:57:17.934128,"","",,
2761,САЛЬНИК РАСПРЕДВАЛА,2014-02-15 00:26:11.58153,2015-01-19 20:00:47.51729,"","",,2094
2762,УПЛОТНИТЕЛЬНОЕ КОЛЬЦО КОЛОДЦА СВЕЧИ ЗАЖИГАНИЯ,2014-02-15 00:26:11.583778,2015-01-26 22:05:07.026163,"","",,4
2763,ТРУБКИ ОХЛАЖДЕНИЯ МАСЛА ДВИГАТЕЛЯ,2014-02-15 00:26:11.585938,2015-02-02 10:51:31.688765,"","",,10
2764,УПЛОТНИТЕЛЬНОЕ КОЛЬЦО АДАПТЕРА МАСЛЯНОГО ФИЛЬТРА,2014-02-15 00:26:11.588261,2015-02-02 22:18:07.579884,"","",,0
2765,ГАЙКИ КОЛЁСНЫЕ ШТАТНЫЕ,2014-02-15 00:26:11.590761,2015-02-02 10:15:15.170992,"","",,26
2766,"ГАЙКИ-""СЕКРЕТКИ"" КОЛЁСНЫЕ",2014-02-15 00:26:11.592999,2014-02-15 00:26:11.592999,,,,
2767,АЛЮМИНИЕВЫЙ ДИСК,2014-02-15 00:26:11.595216,2015-02-02 05:57:58.422048,"","",,700
2768,ЗАПАСНОЕ КОЛЕСО,2014-02-15 00:26:11.597688,2015-02-01 02:16:32.359386,"","",,9100
2769,СТАЛЬНОЙ ДИСК,2014-02-15 00:26:11.599956,2015-02-01 02:37:25.236218,"","",,6058
2770,КОЛПАК КОЛЁСНОГО ДИСКА,2014-02-15 00:26:11.602011,2015-01-19 20:00:39.046739,"","",,353
2771,ШПИЛЬКИ КОЛЁСНЫЕ,2014-02-15 00:26:11.604386,2015-02-02 05:44:26.590475,"","",,1042
2772,КОЗЫРЕК СОЛЦЕЗАЩИТНЫЙ И ЕГО ДЕТАЛИ,2014-02-15 00:26:11.606463,2015-02-02 22:18:11.093528,"","",,0
2773,ПЕДАЛЬ ТОРМОЗА И ЕЕ ДЕТАЛИ,2014-02-15 00:26:11.608514,2015-02-02 20:49:25.614361,"","",,8
2774,ПИСТОН КРЕПЛЕНИЯ ОБШИВКИ,2014-02-15 00:26:11.610516,2015-01-19 20:00:38.99221,,,,61
2775,ПЛАФОН ОСВЕЩЕНИЯ САЛОНА/БАГАЖНИКА,2014-02-15 00:26:11.612513,2015-01-11 01:12:32.484149,"","",,
2776,РУКОЯТКА СТОЯНОЧНОГО ТОРМОЗА,2014-02-15 00:26:11.614697,2015-02-02 10:10:11.579693,"","",,34
2777,ТРОС ДРОССЕЛЬНОЙ ЗАСЛОНКИ,2014-02-15 00:26:11.616673,2015-02-02 08:33:52.492219,"","",,113
2778,ТРОС КАПОТА,2014-02-15 00:26:11.618542,2015-02-02 05:13:27.472461,"","",,1617
2779,ТРОС СПИДОМЕТРА,2014-02-15 00:26:11.620453,2015-01-19 20:00:37.912551,,,,1564
2780,ТРОС/РУЧКА ЛЮЧКА БЕНЗОБАКА,2014-02-15 00:26:11.622447,2014-02-15 00:26:11.622447,,,,
2781,ОБЛИЦОВКА 5-Й ДВЕРИ,2014-02-15 00:26:11.624488,2014-02-15 00:26:11.624488,,,,
2782,ОБЛИЦОВКА БАГАЖНОГО ОТСЕКА,2014-02-15 00:26:11.626459,2015-02-02 22:16:30.768236,"","",,1
2783,ОБЛИЦОВКА ЗАДНЕЙ ДВЕРИ,2014-02-15 00:26:11.628494,2015-02-02 08:27:29.172983,"","",,138
2784,ОБЛИЦОВКА ЗАДНЕЙ ПРАВОЙ ДВЕРИ,2014-02-15 00:26:11.630742,2015-02-02 20:48:00.075016,"","",,9
2785,ОБЛИЦОВКА ПЕРЕДНЕЙ ДВЕРИ,2014-02-15 00:26:11.632773,2015-02-02 09:02:03.557603,"","",,99
2786,ОБЛИЦОВКА ПЕРЕДНЕЙ ПРАВОЙ ДВЕРИ,2014-02-15 00:26:11.634698,2015-02-02 10:33:46.668454,"","",,15
2787,РУЧКА ДВЕРИ ВНУТРЕННЯЯ,2014-02-15 00:26:11.636633,2015-01-19 20:00:37.827004,,,,1900
2788,ПАНЕЛЬ САЛОНА,2014-02-15 00:26:11.638736,2015-02-02 05:42:32.870899,"","",,1108
